#
# ** The following boilerplate text is a placeholder only.  Please       **
# ** replace it with the boilerplate and changelog available separately. **
#
# Definitions and constants for XTide
#
# NOTE:  This file should not be used as-is to provide a constituent
# set to harmgen because it may contain multiple constituents with the
# same frequency.  A better constituent set is included in the harmgen
# distribution (see the README).
#
#
# ********* NOT FOR NAVIGATION ********
#
# *** DO NOT RELY ON THIS DATA FILE FOR DECISIONS THAT CAN RESULT IN ***
# ***                   HARM TO ANYONE OR ANYTHING.                  ***
#
# This data file is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
#
# Highly trustworthy tide predictions cannot be achieved on a zero
# budget.  If you need guaranteed results, don't use this data!
# Contact the tide authority for your region (NOAA in the U.S.).
#
# WHOSOEVER CHOOSES TO REDISTRIBUTE THIS DATA ASSUMES ALL LIABILITY
# ASSOCIATED THEREWITH.  NEITHER DAVID FLATER NOR ANYONE ELSE INVOLVED
# SHALL BE LIABLE PERSONALLY OR OTHERWISE FOR ANY LOSSES THAT THE
# REDISTRIBUTOR MIGHT SUFFER AS A CONSEQUENCE OF ANY CLAIMS, BOGUS OR
# OTHERWISE, THAT ARE MADE TO THIS DATA.
#
#
# ------------- Begin congen output -------------
#
# Number of constituents
175
#
# Constituent speeds
# Format:  identifier [whitespace] speed [CR]
# Speed is in degrees per solar hour.
# Identifier is just a name for the constituent.  They are for
# readability only; XTide assumes that the constituents will be listed
# in the same order throughout this file.
J1                           15.5854433
K1                           15.0410686
K2                           30.0821373
L2                           29.5284789
M1                           14.4966939
M2                           28.9841042
M3                           43.4761563
M4                           57.9682084
M6                           86.9523126
M8                          115.9364169
N2                           28.4397295
2N2                          27.8953548
O1                           13.9430356
OO1                          16.1391017
P1                           14.9589314
Q1                           13.3986609
2Q1                          12.8542862
R2                           30.0410667
S1                           15.0000000
S2                           30.0000000
S4                           60.0000000
S6                           90.0000000
T2                           29.9589333
LDA2                         29.4556253
MU2                          27.9682084
NU2                          28.5125831
RHO1                         13.4715145
MK3                          44.0251729
2MK3                         42.9271398
MN4                          57.4238337
MS4                          58.9841042
2SM2                         31.0158958
MF                            1.0980331
MSF                           1.0158958
MM                            0.5443747
SA                            0.0410686
SSA                           0.0821373
SA-IOS                        0.0410667
MF-IOS                        1.0980331
S1-IOS                       15.0000020
OO1-IOS                      16.1391017
R2-IOS                       30.0410667
A7                            1.6424078
2MK5                         73.0092771
2MK6                         88.0503457
2MN2                         29.5284789
2MN6                         86.4079379
2MS6                         87.9682084
2NM6                         85.8635632
2SK5                         75.0410686
2SM6                         88.9841042
3MK7                        101.9933813
3MN8                        115.3920422
3MS2                         26.9523126
3MS4                         56.9523126
3MS8                        116.9523126
ALP1                         12.3827651
BET1                         14.4145567
CHI1                         14.5695476
H1                           28.9430375
H2                           29.0251709
KJ2                          30.6265120
ETA2                         30.6265120
KQ1                          16.6834764
UPS1                         16.6834764
M10                         144.9205211
M12                         173.9046253
MK4                          59.0662415
